last eat in detach is 0
i inside is 0
1692318970364 0 is thinking
1692318970364 4 is sleeping
1692318970364 3 is eating
1692318970364 0 is eating
1692318970365 1 is thinking
1692318970365 3 is sleeping
1692318970365 0 is sleeping
1692318970365 1 is eating
1692318970365 4 is thinking
1692318970365 4 is eating
1692318970365 1 is sleeping
1692318970365 3 is thinking
1692318970365 0 is thinking
1692318970365 4 is sleeping
1692318970365 0 is eating
1692318970365 2 is eating
1692318970365 1 is thinking
1692318970365 0 is sleeping
1692318970365 4 is thinking
1692318970365 4 is eating
1692318970366 0 is thinking
1692318970366 4 is sleeping
1692318970366 4 is thinking
1692318970366 4 is eating
1692318970366 2 is sleeping
1692318970366 1 is eating
1692318970366 1 is sleeping
1692318970366 4 is sleeping
1692318970366 2 is thinking
1692318970366 3 is eating
1692318970366 0 is eating
1692318970369 1 is thinking
1692318970369 3 is sleeping
1692318970369 0 is sleeping
1692318970369 1 is eating
1692318970369 4 is thinking
1692318970369 4 is eating
1692318970370 1 is sleeping
1692318970370 3 is thinking
1692318970370 0 is thinking
1692318970370 4 is sleeping
1692318970370 0 is eating
1692318970370 2 is eating
1692318970370 1 is thinking
1692318970370 0 is sleeping
1692318970370 4 is thinking
1692318970370 4 is eating
1692318970371 0 is thinking
1692318970371 4 is sleeping
1692318970371 4 is thinking
1692318970371 4 is eating
1692318970371 4 is sleeping
1692318970372 4 is thinking
1692318970372 4 is eating
1692318970372 4 is sleeping
1692318970372 4 is thinking
1692318970372 4 is eating
1692318970372 2 is sleeping
1692318970372 1 is eating
1692318970373 4 is sleeping
1692318970373 3 is eating
1692318970373 1 is sleeping
1692318970373 0 is eating
1692318970373 2 is thinking
1692318970373 1 is thinking
1692318970373 3 is sleeping
1692318970373 0 is sleeping
1692318970373 1 is eating
1692318970373 4 is thinking
1692318970373 4 is eating
1692318970374 1 is sleeping
1692318970374 3 is thinking
1692318970374 0 is thinking
1692318970374 4 is sleeping
1692318970374 0 is eating
1692318970374 2 is eating
1692318970374 1 is thinking
1692318970374 0 is sleeping
1692318970374 2 is sleeping
1692318970374 1 is eating
1692318970374 3 is eating
1692318970374 4 is thinking
1692318970374 1 is sleeping
1692318970374 3 is sleeping
1692318970374 0 is thinking
1692318970374 4 is eating
1692318970374 2 is thinking
1692318970374 2 is eating
1692318970375 2 is sleeping
1692318970375 1 is thinking
1692318970375 3 is thinking
1692318970375 4 is sleeping
1692318970375 3 is eating
1692318970375 0 is eating
1692318970376 2 is thinking
1692318970376 3 is sleeping
1692318970376 0 is sleeping
1692318970376 1 is eating
1692318970376 4 is thinking
1692318970376 4 is eating
1692318970376 1 is sleeping
1692318970376 3 is thinking
1692318970376 0 is thinking
1692318970376 4 is sleeping
1692318970376 0 is eating
1692318970376 2 is eating
1692318970377 1 is thinking
1692318970377 0 is sleeping
1692318970377 1 is eating
1692318970377 4 is thinking
1692318970377 4 is eating
1692318970377 2 is sleeping
1692318970377 1 is sleeping
1692318970377 0 is thinking
1692318970377 2 is thinking
1692318970377 4 is sleeping
1692318970377 3 is eating
1692318970377 0 is eating
1692318970382 1 is thinking
1692318970382 3 is sleeping
1692318970382 0 is sleeping
1692318970382 1 is eating
1692318970382 4 is thinking
1692318970382 4 is eating
1692318970382 1 is sleeping
1692318970382 2 is eating
1692318970382 3 is thinking
1692318970382 0 is thinking
1692318970382 4 is sleeping
1692318970382 0 is eating
1692318970383 1 is thinking
1692318970383 0 is sleeping
1692318970383 2 is sleeping
1692318970383 1 is eating
1692318970383 3 is eating
1692318970383 4 is thinking
1692318970383 1 is sleeping
1692318970383 2 is thinking
1692318970383 3 is sleeping
1692318970383 0 is thinking
1692318970383 4 is eating
1692318970383 2 is eating
1692318970383 2 is sleeping
1692318970383 1 is thinking
1692318970383 3 is thinking
1692318970383 4 is sleeping
1692318970383 3 is eating
1692318970383 0 is eating
1692318970384 2 is thinking
1692318970384 3 is sleeping
1692318970384 2 is eating
1692318970384 0 is sleeping
1692318970384 4 is thinking
1692318970384 4 is eating
1692318970384 3 is thinking
1692318970384 2 is sleeping
1692318970384 1 is eating
1692318970384 0 is thinking
1692318970384 4 is sleeping
1692318970384 3 is eating
1692318970384 2 is thinking
1692318970384 1 is sleeping
1692318970384 0 is eating
1692318970384 3 is sleeping
1692318970384 4 is thinking
1692318970384 2 is eating
1692318970385 1 is thinking
1692318970385 2 is sleeping
1692318970385 3 is thinking
1692318970385 3 is eating
1692318970385 0 is sleeping
1692318970385 1 is eating
1692318970386 2 is thinking
1692318970386 1 is sleeping
1692318970386 3 is sleeping
1692318970386 0 is thinking
1692318970386 4 is eating
1692318970386 2 is eating
1692318970387 2 is sleeping
1692318970387 1 is thinking
1692318970387 3 is thinking
1692318970387 4 is sleeping
1692318970387 3 is eating
1692318970387 0 is eating
1692318970388 3 is sleeping
1692318970388 2 is thinking
1692318970388 2 is eating
1692318970388 0 is sleeping
1692318970388 4 is thinking
1692318970388 4 is eating
1692318970389 3 is thinking
1692318970389 2 is sleeping
1692318970389 0 is thinking
1692318970389 1 is eating
1692318970389 4 is sleeping
1692318970389 3 is eating
1692318970390 2 is thinking
1692318970390 1 is sleeping
1692318970390 3 is sleeping
1692318970390 0 is eating
1692318970390 4 is thinking
1692318970391 1 is thinking
1692318970391 3 is thinking
1692318970391 3 is eating
1692318970391 0 is sleeping
1692318970391 1 is eating
1692318970391 1 is sleeping
1692318970391 3 is sleeping
1692318970391 0 is thinking
1692318970391 4 is eating
1692318970391 1 is thinking
1692318970391 3 is thinking
1692318970391 4 is sleeping
1692318970391 3 is eating
1692318970391 0 is eating
1692318970391 3 is sleeping
1692318970391 0 is sleeping
1692318970391 1 is eating
1692318970391 4 is thinking
1692318970391 4 is eating
1692318970392 1 is sleeping
1692318970392 3 is thinking
1692318970392 0 is thinking
1692318970392 4 is sleeping
1692318970392 0 is eating
1692318970392 2 is eating
1692318970393 1 is thinking
1692318970393 4 is thinking
1692318970393 0 is sleeping
1692318970393 4 is eating
1692318970393 2 is sleeping
1692318970393 1 is eating
1692318970393 0 is thinking
1692318970393 4 is sleeping
1692318970393 3 is eating
1692318970393 2 is thinking
1692318970393 1 is sleeping
1692318970393 3 is sleeping
1692318970393 0 is eating
1692318970393 4 is thinking
1692318970393 2 is eating
1692318970394 2 is sleeping
1692318970394 1 is thinking
1692318970394 3 is thinking
1692318970394 3 is eating
1692318970394 0 is sleeping
1692318970394 1 is eating
1692318970397 2 is thinking
1692318970397 1 is sleeping
1692318970397 3 is sleeping
1692318970397 0 is thinking
1692318970398 4 is eating
1692318970398 2 is eating
1692318970398 1 is thinking
1692318970398 2 is sleeping
1692318970398 3 is thinking
1692318970398 4 is sleeping
1692318970398 0 is eating
1692318970398 3 is eating
1692318970398 2 is thinking
1692318970398 0 is sleeping
1692318970398 1 is eating
1692318970398 3 is sleeping
1692318970398 4 is thinking
1692318970398 4 is eating
1692318970399 1 is sleeping
1692318970399 3 is thinking
1692318970399 0 is thinking
1692318970399 4 is sleeping
1692318970399 0 is eating
1692318970399 2 is eating
1692318970399 1 is thinking
1692318970399 0 is sleeping
1692318970399 1 is eating
1692318970399 2 is sleeping
1692318970399 4 is thinking
1692318970399 4 is eating
1692318970400 2 is thinking
1692318970400 1 is sleeping
1692318970400 0 is thinking
1692318970400 4 is sleeping
1692318970400 3 is eating
1692318970400 0 is eating
1692318970401 1 is thinking
1692318970401 3 is sleeping
1692318970401 0 is sleeping
1692318970401 1 is eating
1692318970401 4 is thinking
1692318970401 4 is eating
1692318970402 1 is sleeping
1692318970402 3 is thinking
1692318970402 0 is thinking
1692318970402 4 is sleeping
1692318970402 0 is eating
1692318970402 2 is eating
1692318970403 1 is thinking
1692318970403 0 is sleeping
1692318970403 4 is thinking
1692318970403 4 is eating
1692318970403 2 is sleeping
1692318970403 1 is eating
1692318970404 1 is sleeping
1692318970404 0 is thinking
1692318970404 4 is sleeping
1692318970404 3 is eating
1692318970404 0 is eating
1692318970404 2 is thinking
1692318970405 1 is thinking
1692318970405 3 is sleeping
1692318970405 0 is sleeping
1692318970405 1 is eating
1692318970405 4 is thinking
1692318970405 4 is eating
1692318970406 1 is sleeping
1692318970406 3 is thinking
1692318970406 0 is thinking
1692318970406 4 is sleeping
1692318970406 2 is eating
1692318970406 0 is eating
1692318970407 1 is thinking
1692318970407 0 is sleeping
1692318970407 4 is thinking
1692318970407 4 is eating
1692318970408 0 is thinking
1692318970408 4 is sleeping
1692318970408 2 is sleeping
1692318970408 1 is eating
1692318970408 3 is eating
1692318970408 4 is thinking
1692318970408 2 is thinking
1692318970408 1 is sleeping
1692318970408 3 is sleeping
1692318970408 4 is eating
1692318970408 2 is eating
1692318970409 1 is thinking
1692318970409 3 is thinking
1692318970409 4 is sleeping
1692318970409 0 is eating
1692318970409 2 is sleeping
1692318970409 3 is eating
1692318970410 2 is thinking
1692318970410 3 is sleeping
1692318970410 2 is eating
1692318970410 0 is sleeping
1692318970410 4 is thinking
